,Company,Stats,Quote,Chart
CSX,Railroads,48790802840,63.77,70.75
TFC,Regional Banks,47828200000,35.25,48.81
BSX,Medical Specialties,50133336000,36.81,38.27
NOC,Aerospace & Defense,53771719680,328.74,335.99
GPN,Data Processing Services,48743788480,166.95,192.39
NEM,Precious Metals,50680619120,64.91,46.83
HUM,Managed Health Care,49952715040,384.06,345.36
CB,Property/Casualty Insurance,44837804380,100.16,151.81
ICE,Investment Banks/Brokers,49069396740,92.97,93.4
APD,Chemicals: Specialty,49327964250,224.3,230.65
AMAT,Industrial Machinery,43692951900,48.85,60.16
ATVI,Recreational Products,51383612300,68.53,60.59
ECL,Chemicals: Specialty,55381072320,193.32,191.22
PNC,Major Banks,43082640000,99.77,132.64
ITW,Industrial Machinery,50275641780,159.69,173.28
MMC,Insurance Brokers/Services,49962440000,100.26,108.01
NSC,Railroads,43040633790,171.36,182.59
KMB,Household/Personal Care,46222444310,137.13,141.1
MS,Investment Banks/Brokers,60029840000,37.98,46.48
COP,Oil & Gas Production,43462069600,40.92,49.23
ILMN,Biotechnology,45248074800,310.25,278.28
BAX,Medical Specialties,44406117720,88.74,87.18
PGR,Property/Casualty Insurance,44395005000,78.04,78.88
DE,Trucks/Construction/Farm Machinery,41692642800,135.15,163.92
EW,Medical Specialties,42744491700,214.58,212.92
DG,Discount Stores,44125791600,174.87,159.6
SCHW,Investment Banks/Brokers,45865786400,34.9,41.98
SHW,Industrial Specialties,48018672000,532.69,538.32
LHX,Aerospace & Defense,40520510720,189.0,202.05
ADI,Semiconductors,38073948000,105.94,111.27
REGN,Biotechnology,60966653785,574.37,464.75
ADSK,Packaged Software,39030833800,180.49,190.83
MCO,Financial Publishing/Services,46010625000,250.47,259.52
AEP,Electric Utilities,41095880650,83.31,95.09
LRCX,Electronic Production Equipment,34043392240,242.81,300.33
AON,Insurance Brokers/Services,41059182800,182.93,221.06
WM,Environmental Services,42176304120,99.02,117.03
EL,Household/Personal Care,62350341329,169.94,193.33
DLR,Real Estate Investment Trusts,37795099830,148.0,130.49
CNC,Managed Health Care,38141435940,68.35,55.44
SRE,Gas Distributors,36291819160,124.22,142.23
EXC,Electric Utilities,34525818500,35.87,45.43
GIS,Food: Major Diversified,36204682470,59.81,51.41
EMR,Electrical Products,32436917750,54.7,66.3
ETN,Electrical Products,31728000000,80.8,95.68
BX,Investment Managers,33459402950,50.66,56.03
DD,Chemicals: Major Diversified,32815312400,44.69,44.95
ROP,Electronic Equipment/Instruments,35606705520,345.87,361.02
ROST,Apparel/Footwear Retail,31412656930,88.77,111.98
ALL,Property/Casualty Insurance,31748077700,102.15,112.67
WBA,Drugstore Chains,37237989000,42.02,48.11
TMUS,Wireless Telecommunications,109820230400,88.97,93.29
XEL,Electric Utilities,32756559310,63.275,65.87
EA,Recreational Products,33842613420,119.61,106.89
SBAC,Real Estate Investment Trusts,32369988500,294.51,285.05
PSX,Oil Refining/Marketing,32172336240,75.2,75.11
CTSH,Information Technology Services,30937640430,57.14,61.33
COF,Major Banks,28042542900,60.96,91.47
GD,Aerospace & Defense,35795014700,126.36,165.03
BK,Major Banks,31454712540,35.14,40.96
DXCM,Medical Specialties,32536673000,364.28,285.73
FDX,Air Freight/Couriers,30265812500,117.67,139.75
KMI,Oil & Gas Pipelines,33130828500,14.95,20.24
SYY,Food Distributors,27373039470,50.54,69.68
HCA,Hospital/Nursing Management,35068773090,106.46,135.05
ORLY,Specialty Stores,28804910253,390.38,378.39
EBAY,Other Consumer Services,27914974990,40.32,35.96
GM,Motor Vehicles,29719810000,21.26,31.42
USD,Investment Trusts/Mutual Funds,62146000,45.89,56.88
WEC,Electric Utilities,28061097600,89.58,97.69
AFL,Life/Health Insurance,25650911000,35.92,45.29
MET,Life/Health Insurance,31073277260,34.27,44.56
MSCI,Investment Managers,27328857608,337.34,315.53
STZ,Beverages: Alcoholic,31577276046,163.01,177.22
PSA,Real Estate Investment Trusts,31653264370,179.44,219.25
KLAC,Electronic Production Equipment,23829344000,155.63,158.74
DOW,Chemicals: Specialty,24488566860,33.37,41.42
LULU,Apparel/Footwear Retail,28548229980,218.21,228.9
EOG,Oil & Gas Production,27205250700,46.05,62.86
INFO,Investment Managers,25981399080,65.62,73.49
VLO,Oil Refining/Marketing,25954118340,63.02,67.87
APH,Electronic Components,24831424480,86.25,94.93
TRV,Multi-Line Insurance,24502336760,96.85,127.68
TROW,Investment Managers,24914340010,109.67,125.48
ED,Electric Utilities,25736190560,77.54,84.53
ES,Electric Utilities,26690825600,80.99,93.62
PEG,Electric Utilities,24821940780,49.84,53.71
YUM,Restaurants,25001781000,83.28,92.53
TEL,Electronic Components,23209503320,70.82,85.35
MAR,Hotels/Resorts/Cruiselines,26774170180,83.66,122.96
IQV,Services to the Health Industry,25605460000,135.49,147.08
MSI,Aerospace & Defense,24216421480,140.82,173.49
PRU,Financial Conglomerates,23319070720,58.75,79.56
SLB,Oilfield Services/Equipment,22524156300,16.25,27.79
KR,Food Retail,25969577310,32.81,29.68
WDAY,Information Technology Services,34809088440,152.18,172.89
CMI,Trucks/Construction/Farm Machinery,22713102960,153.83,155.66
VRSK,Insurance Brokers/Services,25188718960,157.49,163.13
AZO,Specialty Stores,23584118880,1023.16,1046.89
VEEV,Packaged Software,28231009542,192.86,144.05
ZBH,Medical Specialties,23576215740,118.02,139.25
A,Biotechnology,23087578560,76.37,81.97
JCI,Office Equipment/Supplies,21791984310,28.65,38.07
MNST,Beverages: Non-Alcoholic,31176847870,60.65,64.77
TWTR,Internet Software/Services,22150076670,28.07,35.82
PCAR,Trucks/Construction/Farm Machinery,23635509000,68.06,69.68
SNPS,Packaged Software,22696295160,154.24,141.63
HPQ,Computer Processing Hardware,21303424000,14.81,21.86
ALXN,Biotechnology,23062864000,98.25,96.16
STT,Regional Banks,20554230400,58.08,68.69
CSGP,Internet Software/Services,23323467584,641.17,705.8
AIG,Multi-Line Insurance,20731250300,25.06,42.85
IDXX,Medical Specialties,23251258080,282.08,261.99
WMB,Oil & Gas Pipelines,23206985600,19.0,19.6
MCK,Medical Distributors,24026350080,133.55,150.41
AVB,Real Estate Investment Trusts,22258647600,159.34,209.67
XLNX,Semiconductors,20713191880,83.5,84.61
CLX,Household/Personal Care,24928677000,203.48,172.01
EQR,Real Estate Investment Trusts,23256500000,62.41,79.07
FE,Electric Utilities,22314847260,41.68,47.32
CDNS,Packaged Software,21676078680,79.67,68.36
CMG,Restaurants,24404362500,870.23,768.81
ROK,Electrical Products,21765646080,190.99,190.59
PPG,Industrial Specialties,20485194090,88.27,105.31
HLT,Hotels/Resorts/Cruiselines,19792209830,71.74,96.46
AWK,Water Utilities,21986689200,123.43,130.84
WLTW,Insurance Brokers/Services,23628205440,189.86,199.54
SQ,Information Technology Services,27994923769,66.69,80.67
ANSS,Packaged Software,22234543200,262.23,258.81
CERN,Information Technology Services,20409643940,68.47,72.55
BLL,Containers/Packaging,21550677750,66.26,75.17
PAYX,Data Processing Services,24094886550,67.68,82.08
RMD,Medical Specialties,22391713040,159.41,168.75
MCHP,Semiconductors,19646906760,83.47,95.22
VRSN,Internet Software/Services,24129164760,210.55,196.85
SPLK,Information Technology Services,21424756320,143.615,152.02
EIX,Electric Utilities,20479391130,56.39,70.44
TT,Industrial Conglomerates,20368390900,82.16,100.55
MPC,Oil Refining/Marketing,20494531530,31.14,47.73
ADM,Agricultural Commodities/Milling,19309040960,34.96,38.84
FLT,Miscellaneous Commercial Services,19798170750,236.07,282.04
WELL,Real Estate Investment Trusts,19838065920,48.2,75.26
FAST,Wholesale Distributors,20535561150,36.63,35.18
SPG,Real Estate Investment Trusts,41538150162,60.55,127.22
OTIS,Building Products,21450402870,48.09,0.0
DTE,Electric Utilities,19421067960,102.41,116.64
F,Motor Vehicles,19329143400,4.97,7.2
CTVA,Chemicals: Agricultural,19046773860,26.18,28.24
PPL,Electric Utilities,19173772800,25.34,31.81
PH,Industrial Machinery,20105496690,153.55,192.59
HSY,Food: Specialty/Candy,27301283231,131.36,152.36
ETR,Electric Utilities,19161862720,96.75,124.12
VFC,Apparel/Footwear,21993798400,55.66,74.65
AME,Electrical Products,18259567300,81.19,90.02
PANW,Computer Communications,19127388016,198.21,189.29
DLTR,Discount Stores,18461316420,76.55,84.56
ARE,Real Estate Investment Trusts,18876248100,152.95,155.58
FTV,Electronic Equipment/Instruments,20548216000,58.33,70.65
MKC,Food: Specialty/Candy,20917760560,160.21,152.47
CTAS,Other Consumer Services,21813042000,210.74,279.6
KHC,Food: Major Diversified,35347541900,28.94,26.07
LBRDK,Cable/Satellite TV,23050748160,126.94,128.56
O,Real Estate Investment Trusts,17379372780,52.05,74.99
KEYS,Electronic Equipment/Instruments,17519558550,96.02,97.42
SWK,Tools & Hardware,16007818250,107.12,142.42
TSN,Food: Meat/Fish/Dairy,16320948960,56.99,70.54
AEE,Electric Utilities,17626891280,72.15,84.42
BBY,Electronics/Appliance Stores,19147923080,74.75,79.61
MTD,Medical Specialties,16568233090,709.73,724.14
MRVL,Semiconductors,17041670000,26.27,21.96
TDG,Aerospace & Defense,18384381840,324.59,568.46
APTV,Auto Parts: OEM,16402925130,65.64,82.17
SWKS,Semiconductors,16891866060,104.71,104.27
FRC,Regional Banks,16957512000,99.76,105.68
GLW,Electronic Components,15476010000,20.67,24.67
NTRS,Regional Banks,15595577920,73.07,88.49
CPRT,Miscellaneous Commercial Services,18228990000,79.62,86.69
EFX,Miscellaneous Commercial Services,17201468350,146.62,150.87
INCY,Biotechnology,21909982480,98.82,79.06
BMRN,Biotechnology,16340431320,93.19,94.4
RSG,Environmental Services,24638611600,77.48,94.08
MKTX,Investment Banks/Brokers,17142318936,483.26,348.62
LH,Services to the Health Industry,15307815000,162.75,187.96
OKTA,Packaged Software,18991953219,158.73,133.43
RNG,Packaged Software,20601736828,234.17,239.89
CHD,Household/Personal Care,17687083490,73.43,74.96
ESS,Real Estate Investment Trusts,16034994490,244.52,293.44
LVS,Casinos/Gaming,34711528500,46.39,58.26
CAG,Food: Major Diversified,16278079920,33.39,28.24
WY,Real Estate Investment Trusts,13267542680,17.52,27.44
CMS,Electric Utilities,16240179540,57.16,64.14
IAC,Internet Software/Services,19033786420,229.11,210.16
DHI,Homebuilding,16770007940,47.42,54.83
TFX,Medical Specialties,15124466812,340.75,353.61
SGEN,Biotechnology,26962367520,165.43,111.88
CTXS,Packaged Software,18063350320,146.58,108.78
MTB,Regional Banks,13569132550,102.64,147.51
CDW,Information Technology Services,15390893020,109.99,119.98
K,Food: Major Diversified,21806911330,63.24,63.14
ALGN,Medical Specialties,16550416260,208.61,230.22
MXIM,Semiconductors,13760516250,52.73,57.81
AKAM,Internet Software/Services,15811200000,99.19,90.91
DAL,Airlines,14395958520,21.71,47.16
AMP,Investment Banks/Brokers,13902875140,110.73,150.86
FTNT,Computer Communications,18234835500,108.56,110.1
CAH,Medical Distributors,13719683680,47.45,54.02
VMC,Construction Materials,14810370150,108.04,125.84
DGX,Services to the Health Industry,14343443280,108.31,112.11
LYB,Chemicals: Specialty,18132138300,54.85,74.52
TRU,Information Technology Services,14512108000,79.0,92.65
CBRE,Real Estate Development,13242721050,39.59,58.19
ALNY,Biotechnology,15449027360,141.23,114.78
LEN,Homebuilding,15430950220,51.11,62.62
PXD,Oil & Gas Production,13693520780,82.48,124.32
AMCR,Containers/Packaging,13939194500,8.58,9.79
OXY,Oil & Gas Production,13968279360,15.32,32.95
AJG,Insurance Brokers/Services,15194544000,83.13,103.51
HIG,Multi-Line Insurance,12672274250,35.16,53.12
SNAP,Internet Software/Services,24716887200,17.51,14.39
DFS,Regional Banks,12671672370,41.1,67.88
LUV,Airlines,14024898160,26.42,46.95
COO,Medical Specialties,15310624536,290.88,335.45
KKR,Investment Managers,20591331687,24.6,29.99
CARR,Industrial Machinery,14205007600,15.97,0.0
ODFL,Trucking,17701176220,153.64,133.39
FITB,Regional Banks,12547437840,17.37,25.72
IFF,Household/Personal Care,13659975800,128.9,122.56
WDC,Computer Peripherals,11858632440,40.335,60.04
BXP,Real Estate Investment Trusts,13927096050,87.43,134.54
EVRG,Electric Utilities,12835812430,57.29,69.39
DPZ,Restaurants,14048445543,371.46,347.52
IP,Containers/Packaging,13128792470,33.1,38.23
LDOS,Information Technology Services,14030086770,98.44,110.06
DOV,Oilfield Services/Equipment,13047356080,91.89,107.4
WST,Medical Specialties,13860766304,194.8,156.49
TTWO,Recreational Products,14167791840,125.28,112.06
TWLO,Packaged Software,15857371455,116.57,111.48
ABC,Medical Distributors,17793186640,87.97,87.16
PEAK,Real Estate Investment Trusts,12706532160,25.2,32.83
TIF,Specialty Stores,15418038450,127.46,133.67
PAYC,Packaged Software,14250300772,256.98,291.96
HPE,Computer Processing Hardware,12084629200,9.41,12.89
KSU,Railroads,11775853386,125.4,155.06
HRL,Food: Meat/Fish/Dairy,24985072960,46.29,43.19
ZBRA,Computer Peripherals,12145765332,233.15,221.71
ULTA,Specialty Stores,12133571060,218.21,260.99
FCX,Other Metals/Minerals,12632052000,8.8,10.5
BR,Miscellaneous Commercial Services,13070321550,115.35,106.25
OMC,Advertising/Marketing Services,11629138410,54.22,70.36
XYL,Industrial Machinery,12333241800,65.05,82.29
BURL,Apparel/Footwear Retail,11726334150,178.82,218.41
WAT,Medical Specialties,11170186741,181.89,202.7
SJM,Food: Specialty/Candy,13113229620,116.02,106.74
KMX,Specialty Stores,11653376000,72.97,89.74
NDAQ,Investment Banks/Brokers,17512723560,108.83,110.12
INVH,Real Estate Investment Trusts,12392449930,23.51,29.85
HOLX,Medical Specialties,12892225580,50.28,48.82
DRE,Real Estate Investment Trusts,12195969150,32.92,33.9
NUE,Steel,12364603100,40.75,42.7
MAA,Real Estate Investment Trusts,12605084000,112.41,135.4
DOCU,Packaged Software,19609239160,109.35,87.96
OKE,Oil & Gas Pipelines,12081945330,29.93,69.13
TDOC,Hospital/Nursing Management,12977210190,169.59,124.49
ATO,Gas Distributors,12322430250,101.77,107.89
MKL,Specialty Insurance,11334592346,828.36,1262.7
KEY,Major Banks,10309086200,10.63,16.97
GWW,Wholesale Distributors,14549684948,279.21,288.88
TYL,Data Processing Services,12514565984,322.56,331.66
FMC,Chemicals: Agricultural,11603091240,89.5,96.91
STE,Medical Specialties,11834806020,141.66,163.4
JKHY,Information Technology Services,12430941600,176.2,158.73
HES,Oil & Gas Production,14217695760,46.14,57.19
TDY,Aerospace & Defense,11657191620,319.17,345.9
EXPD,Air Freight/Couriers,11997774380,72.9,71.94
VTR,Real Estate Investment Trusts,11232957040,29.89,52.36
EPAM,Information Technology Services,12020108466,221.89,229.87
SSNC,Information Technology Services,14131896210,56.56,57.63
MLM,Construction Materials,11847696405,181.51,236.9
IEX,Industrial Machinery,11356281897,151.78,153.04
NLOK,Packaged Software,12668102400,21.53,19.93
STX,Computer Peripherals,11917665000,46.75,50.37
ANET,Computer Communications,15963985700,220.44,196.59
SUI,Real Estate Investment Trusts,12296120940,131.78,160.18
GRMN,Telecommunications Equipment,15227954960,80.76,93.47
MAS,Building Products,10507999200,40.82,43.35
TSCO,Specialty Stores,11885601000,105.1,91.48
SYF,Finance/Rental/Leasing,10757738440,18.0,30.39
PODD,Medical Specialties,12163257620,201.26,181.51
EXR,Real Estate Investment Trusts,11551221763,85.9,105.4
GDDY,Internet Software/Services,11118215146,68.62,70.01
WPC,Real Estate Investment Trusts,10516583000,60.77,81.27
GPC,Wholesale Distributors,10995240660,75.0,89.04
LNT,Electric Utilities,11648092500,48.02,55.36
CXO,Oil & Gas Production,11353928040,58.12,69.06
QRVO,Semiconductors,10890585900,97.71,100.44
TTD,Advertising/Marketing Services,13371567358,303.64,288.11
UDR,Real Estate Investment Trusts,17496581900,36.6,47.08
TER,Electronic Production Equipment,9760306700,59.44,60.49
RF,Major Banks,9723120000,9.98,14.51
EXAS,Biotechnology,11580740520,77.95,77.43
J,Engineering & Construction,10781041500,81.54,96.89
CBOE,Investment Banks/Brokers,10363054000,98.94,118.18
NVR,Homebuilding,11251336889,3100.0,3788.31
ELS,Real Estate Investment Trusts,10982378700,61.19,71.61
ROKU,Electronics/Appliances,15781440863,123.49,114.67
BKI,Packaged Software,10434432000,72.51,69.17
CTL,Specialty Telecommunications,11011937000,10.01,12.59
WAB,Trucks/Construction/Farm Machinery,10004658300,55.14,68.37
CE,Chemicals: Major Diversified,9202945360,78.01,96.37
IT,Miscellaneous Commercial Services,10370982720,115.99,129.8
CINF,Property/Casualty Insurance,9672240300,59.0,101.36
LNG,Oil & Gas Pipelines,10911234240,42.13,52.08
AMTD,Investment Banks/Brokers,20139100750,36.06,43.67
MASI,Medical Specialties,12215469242,234.0,178.06
FDS,Data Processing Services,10188704160,272.72,281.27
COUP,Packaged Software,11809433889,189.73,158.53
VMW,Information Technology Services,52811362680,126.78,121.74
NTAP,Computer Peripherals,8990845050,41.2,47.57
CFG,Regional Banks,9043644400,21.18,33.32
VIAC,Broadcasting,9901252060,15.26,24.31
SIVB,Regional Banks,9389256205,180.84,216.75
CABO,Cable/Satellite TV,10724356250,1919.53,1625.28
VAR,Medical Specialties,10369470420,115.03,126.55
CTLT,Pharmaceuticals: Other,10391946240,67.89,53.34
ACGL,Multi-Line Insurance,9714803000,23.74,42.49
FICO,Packaged Software,10030280405,353.41,387.06
HBAN,Regional Banks,8549874600,8.28,12.94
BAH,Miscellaneous Commercial Services,10203445550,73.73,74.05
MRNA,Biotechnology,16614651500,49.34,29.88
EXPE,Other Consumer Services,9448576913,64.08,96.73
DRI,Restaurants,9172054980,68.99,98.8
IR,Industrial Machinery,11374342490,27.59,32.8
MOH,Managed Health Care,10555952000,181.08,127.32
FOXA,Broadcasting,15170825000,24.1,32.11
PKI,Medical Specialties,9683448000,90.41,86.79
XRAY,Medical Specialties,8673429600,40.67,49.65
ALLE,Building Products,8738786152,96.74,120.86
URI,Finance/Rental/Leasing,8411779125,113.87,135.8
CGNX,Electronic Equipment/Instruments,9204363490,54.41,46.35
ELAN,Agricultural Commodities/Milling,9559212030,24.15,27.78
NI,Gas Distributors,9337465200,24.53,28.56
L,Property/Casualty Insurance,8992431120,30.79,48.69
BKR,Oilfield Services/Equipment,14417528950,13.6,17.17
AES,Electric Utilities,8515678080,13.05,18.22
HAL,Oilfield Services/Equipment,8799098340,9.86,17.22
CHRW,Air Freight/Couriers,9185919600,71.13,70.09
AVY,Containers/Packaging,8906008320,106.49,120.01
ETFC,Investment Banks/Brokers,8657823440,39.05,47.03
PFG,Investment Managers,9577163960,34.86,47.08
LW,Food: Specialty/Candy,8426450300,58.97,86.65
NLY,Real Estate Investment Trusts,8754170400,6.28,9.44
BIO,Medical Specialties,12988647000,443.0,368.95
JBHT,Trucking,10586175180,101.04,96.56
PKG,Containers/Packaging,9084733000,93.48,94.8
HAS,Recreational Products,9463073490,67.21,79.29
NBIX,Biotechnology,9220377020,101.78,96.31
WTRG,Water Utilities,10097622180,41.97,45.44
UHS,Hospital/Nursing Management,8426384416,101.9,131.82
MGM,Casinos/Gaming,7288830900,14.27,25.05
HST,Real Estate Investment Trusts,7842349020,10.97,14.97
MPW,Real Estate Investment Trusts,8671111540,16.76,22.28
VST,Electric Utilities,9265479160,18.72,20.14
POOL,Wholesale Distributors,8578544755,221.86,210.92
PNW,Electric Utilities,8284814850,74.64,94.91
NRG,Electric Utilities,8255358900,32.89,34.17
AAP,Specialty Stores,8298279790,121.19,132.99
CNP,Electric Utilities,8222781400,16.39,23.75
MYL,Pharmaceuticals: Generic,8539914880,16.57,17.48
WRK,Containers/Packaging,7833801360,25.06,34.19
RJF,Investment Banks/Brokers,8708035680,62.77,87.14
TRMB,Electronic Equipment/Instruments,8018798190,32.83,41.0
RPM,Industrial Specialties,8387132070,66.69,66.02
COG,Integrated Oil,8075129500,20.39,14.55
WRB,Property/Casualty Insurance,9596550880,51.75,70.2
EMN,Chemicals: Major Diversified,8241971100,60.11,62.93
NDSN,Industrial Machinery,9079077360,157.87,147.91
WYNN,Casinos/Gaming,8677980600,79.67,107.94
HSIC,Medical Distributors,7493262440,53.7,62.92
CPT,Real Estate Investment Trusts,8554197456,86.01,110.29
APO,Investment Managers,25444145332,40.9,43.39
CCK,Containers/Packaging,8442775750,62.53,74.21
GL,Life/Health Insurance,8437108320,77.54,96.14
FFIV,Computer Communications,8209166600,136.52,120.04
TAP,Beverages: Alcoholic,8269382667,37.44,51.48
ZEN,Data Processing Services,8335838940,75.33,78.47
BRO,Insurance Brokers/Services,10080680280,36.56,45.44
WU,Finance/Rental/Leasing,7744918350,19.36,23.49
CPB,Food: Major Diversified,15322611100,50.88,47.98
RGLD,Precious Metals,8210395330,128.44,100.05
MPWR,Semiconductors,8485565550,196.94,164.12
VICI,Real Estate Development,7675962840,16.43,24.66
Y,Property/Casualty Insurance,7171208950,501.04,719.72
EQH,Financial Conglomerates,7677985440,16.72,21.87
RCL,Hotels/Resorts/Cruiselines,8651170290,37.2,80.56
TECH,Biotechnology,9075233760,246.06,197.64
SIRI,Broadcasting,25179940000,5.74,6.55
HII,Aerospace & Defense,7329505520,182.67,209.64
W,Internet Retail,12655027429,165.88,61.77
ETSY,Miscellaneous Commercial Services,14388952109,72.79,58.84
ATUS,Cable/Satellite TV,14498425941,23.53,26.21
CONE,Real Estate Investment Trusts,8156160000,71.15,63.26
SRPT,Biotechnology,9225857404,119.44,119.86
GGG,Industrial Machinery,7393619240,44.58,51.7
PHM,Homebuilding,7312423230,27.8,41.55
FNF,Specialty Insurance,6958118120,25.05,40.81
HRC,Medical Specialties,7042903010,105.79,100.56
JNPR,Information Technology Services,7136618720,22.14,21.88
WHR,Electronics/Appliances,6590531862,109.26,133.87
UAL,Airlines,7237166820,24.12,61.26
CCL,Hotels/Resorts/Cruiselines,7566630060,13.09,33.06
DISCK,Cable/Satellite TV,10387184680,19.36,25.17
RE,Property/Casualty Insurance,7414969338,167.71,258.16
LKQ,Automotive Aftermarket,7483076660,24.98,29.9
ABMD,Medical Specialties,8146574700,186.22,155.1
EXEL,Biotechnology,7835936790,25.29,19.29
GWRE,Information Technology Services,7357790220,91.68,111.94
ENTG,Semiconductors,7048022520,51.93,55.16
PTC,Packaged Software,7760041860,70.32,74.68
SNA,Tools & Hardware,6598599880,121.67,148.71
