iShares Core S&P Total U.S. Stock Market ETF
Fund Holdings as of,"Apr 29, 2020"
Inception Date,"Jan 20, 2004"
Shares Outstanding,"366,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"COST","COSTCO WHOLESALE CORP","Equity","0.47","307.09","367,538.00","112,867,244.42","112,867,244.42","Consumer Staples","2701271","US22160K1051","NASDAQ"
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.47","335.62","332,949.00","111,744,343.38","111,744,343.38","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.46","99.14","1,116,178.00","110,657,886.92","110,657,886.92","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.46","155.16","703,827.00","109,205,797.32","109,205,797.32","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.43","83.76","1,227,845.00","102,844,297.20","102,844,297.20","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC CLASS A","Equity","0.41","187.56","528,469.00","99,119,645.64","99,119,645.64","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.41","76.50","1,292,316.00","98,862,174.00","98,862,174.00","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.41","53.88","1,806,520.00","97,335,297.60","97,335,297.60","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","0.40","30.00","3,205,074.00","96,152,220.00","96,152,220.00","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.40","235.13","406,638.00","95,612,792.94","95,612,792.94","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"TSLA","TESLA INC","Equity","0.40","800.51","118,787.00","95,090,181.37","95,090,181.37","Consumer Discretionary","B616C79","US88160R1014","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.40","128.69","736,429.00","94,771,048.01","94,771,048.01","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.39","163.05","578,886.00","94,387,362.30","94,387,362.30","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENT INC","Equity","0.39","119.40","777,582.00","92,843,290.80","92,843,290.80","Information Technology","2885409","US8825081040","NASDAQ"
"NKE","NIKE INC CLASS B","Equity","0.38","88.07","1,038,641.00","91,473,112.87","91,473,112.87","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.38","50.26","1,815,724.00","91,258,288.24","91,258,288.24","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"AVGO","BROADCOM INC","Equity","0.38","276.02","329,395.00","90,919,607.90","90,919,607.90","Information Technology","BDZ78H9","US11135F1012","NASDAQ"
"GILD","GILEAD SCIENCES INC","Equity","0.37","83.14","1,055,178.00","87,727,498.92","87,727,498.92","Health Care","2369174","US3755581036","NASDAQ"
"DHR","DANAHER CORP","Equity","0.37","164.97","530,805.00","87,566,900.85","87,566,900.85","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.36","236.81","367,842.00","87,108,664.02","87,108,664.02","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.36","146.16","595,190.00","86,992,970.40","86,992,970.40","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"LIN","LINDE PLC","Equity","0.35","188.69","447,040.00","84,351,977.60","84,351,977.60","Materials","BZ12WP8","IE00BZ12WP82","New York Stock Exchange Inc."
"RTX","RAYTHEON TECHNOLOGIES CORP","Equity","0.34","67.90","1,218,707.00","82,750,205.30","82,750,205.30","Industrials","BM5M5Y3","US75513E1010","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.33","387.91","206,237.00","80,001,394.67","80,001,394.67","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.32","76.86","985,611.00","75,754,061.46","75,754,061.46","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"QCOM","QUALCOMM INC","Equity","0.31","78.97","950,562.00","75,065,881.14","75,065,881.14","Information Technology","2714923","US7475251036","NASDAQ"
"MMM","3M","Equity","0.31","156.26","478,527.00","74,774,629.02","74,774,629.02","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.29","134.29","509,588.00","68,432,572.52","68,432,572.52","Information Technology","2769796","US31620M1062","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.28","106.16","637,693.00","67,697,488.88","67,697,488.88","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.28","62.61","1,080,986.00","67,680,533.46","67,680,533.46","Health Care","2577609","US1266501006","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.27","494.67","130,161.00","64,386,741.87","64,386,741.87","Communication","BZ6VT82","US16119P1084","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","0.26","40.47","1,555,768.00","62,961,930.96","62,961,930.96","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.26","139.00","445,059.00","61,863,201.00","61,863,201.00","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.26","51.05","1,198,654.00","61,191,286.70","61,191,286.70","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"CI","CIGNA CORP","Equity","0.25","195.87","312,033.00","61,117,903.71","61,117,903.71","Health Care","BHJ0775","US1255231003","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","0.25","294.42","203,457.00","59,901,809.94","59,901,809.94","Financials","BYV2325","US78409V1044","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.25","280.61","211,612.00","59,380,443.32","59,380,443.32","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"INTU","INTUIT INC","Equity","0.25","273.43","216,601.00","59,225,211.43","59,225,211.43","Information Technology","2459020","US4612021034","NASDAQ"
"BDX","BECTON DICKINSON","Equity","0.24","257.85","225,627.00","58,177,921.95","58,177,921.95","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.23","96.11","583,723.00","56,101,617.53","56,101,617.53","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"PLD","PROLOGIS REIT INC","Equity","0.23","90.16","613,056.00","55,273,128.96","55,273,128.96","Real Estate","B44WZD7","US74340W1036","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.23","120.06","459,933.00","55,219,555.98","55,219,555.98","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","0.23","181.47","299,047.00","54,268,059.09","54,268,059.09","Financials","2965839","US12572Q1058","NASDAQ"
"D","DOMINION ENERGY INC","Equity","0.22","78.67","684,915.00","53,882,263.05","53,882,263.05","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.22","155.44","345,723.00","53,739,183.12","53,739,183.12","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.22","96.12","558,473.00","53,680,424.76","53,680,424.76","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"VRTX","VERTEX PHARMACEUTICALS INC","Equity","0.22","251.05","213,514.00","53,602,689.70","53,602,689.70","Health Care","2931034","US92532F1003","NASDAQ"
"BKNG","BOOKING HOLDINGS INC","Equity","0.22","1,520.53","34,869.00","53,019,360.57","53,019,360.57","Consumer Discretionary","BDRXDB4","US09857L1089","NASDAQ"
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.22","145.84","360,645.00","52,596,466.80","52,596,466.80","Information Technology","2065308","US0530151036","NASDAQ"
"DUK","DUKE ENERGY CORP","Equity","0.22","86.63","606,647.00","52,553,829.61","52,553,829.61","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"AMD","ADVANCED MICRO DEVICES INC","Equity","0.22","53.66","975,295.00","52,334,329.70","52,334,329.70","Information Technology","2007849","US0079031078","NASDAQ"
"TJX","TJX INC","Equity","0.22","51.54","1,006,990.00","51,900,264.60","51,900,264.60","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.22","189.29","272,977.00","51,671,816.33","51,671,816.33","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","0.21","192.68","267,299.00","51,503,171.32","51,503,171.32","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"NOW","SERVICENOW INC","Equity","0.21","321.99","156,687.00","50,451,647.13","50,451,647.13","Information Technology","B80NXX8","US81762P1021","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.21","57.37","875,160.00","50,207,929.20","50,207,929.20","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","0.21","511.39","98,138.00","50,186,791.82","50,186,791.82","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.21","190.03","263,895.00","50,147,966.85","50,147,966.85","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.21","70.16","712,668.00","50,000,786.88","50,000,786.88","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.21","519.72","95,960.00","49,872,331.20","49,872,331.20","Health Care","2871301","US46120E6023","NASDAQ"
"FISV","FISERV INC","Equity","0.21","104.73","473,161.00","49,554,151.53","49,554,151.53","Information Technology","2342034","US3377381088","NASDAQ"
"ZTS","ZOETIS INC CLASS A","Equity","0.21","125.55","394,415.00","49,518,803.25","49,518,803.25","Health Care","B95WG16","US98978V1035","New York Stock Exchange Inc."
"EQIX","EQUINIX REIT INC","Equity","0.20","679.32","70,785.00","48,085,666.20","48,085,666.20","Real Estate","BVLZX12","US29444U7000","NASDAQ"
"GE","GENERAL ELECTRIC","Equity","0.20","6.58","7,268,511.00","47,826,802.38","47,826,802.38","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","0.20","112.10","422,751.00","47,390,387.10","47,390,387.10","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.19","38.46","1,194,298.00","45,932,701.08","45,932,701.08","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"MU","MICRON TECHNOLOGY INC","Equity","0.19","49.83","919,675.00","45,827,405.25","45,827,405.25","Information Technology","2588184","US5951121038","NASDAQ"
"BIIB","BIOGEN INC","Equity","0.19","304.71","149,918.00","45,681,513.78","45,681,513.78","Health Care","2455965","US09062X1037","NASDAQ"
"CSX","CSX CORP","Equity","0.18","68.15","647,862.00","44,151,795.30","44,151,795.30","Industrials","2160753","US1264081035","NASDAQ"
"TFC","TRUIST FINANCIAL CORP","Equity","0.18","39.20","1,115,395.00","43,723,484.00","43,723,484.00","Financials","BKP7287","US89832Q1094","New York Stock Exchange Inc."
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.18","37.43","1,154,397.00","43,209,079.71","43,209,079.71","Health Care","2113434","US1011371077","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","0.18","331.83","130,154.00","43,189,001.82","43,189,001.82","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"GPN","GLOBAL PAYMENTS INC","Equity","0.18","169.82","249,603.00","42,387,581.46","42,387,581.46","Information Technology","2712013","US37940X1028","New York Stock Exchange Inc."
"NEM","NEWMONT","Equity","0.18","62.35","679,440.00","42,363,084.00","42,363,084.00","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"HUM","HUMANA INC","Equity","0.18","377.38","112,074.00","42,294,486.12","42,294,486.12","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","0.18","112.07","376,624.00","42,208,251.68","42,208,251.68","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.18","90.70","463,900.00","42,075,730.00","42,075,730.00","Financials","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"APD","AIR PRODUCTS AND CHEMICALS INC","Equity","0.18","230.67","182,317.00","42,055,062.39","42,055,062.39","Materials","2011602","US0091581068","New York Stock Exchange Inc."
"AMAT","APPLIED MATERIAL INC","Equity","0.17","54.34","768,430.00","41,756,486.20","41,756,486.20","Information Technology","2046552","US0382221051","NASDAQ"
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.17","64.79","638,464.00","41,366,082.56","41,366,082.56","Communication","2575818","US00507V1098","NASDAQ"
"ECL","ECOLAB INC","Equity","0.17","197.58","208,122.00","41,120,744.76","41,120,744.76","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.17","110.99","369,079.00","40,964,078.21","40,964,078.21","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"ITW","ILLINOIS TOOL INC","Equity","0.17","167.51","244,432.00","40,944,804.32","40,944,804.32","Industrials","2457552","US4523081093","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.17","94.62","418,796.00","39,626,477.52","39,626,477.52","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"NSC","NORFOLK SOUTHERN CORP","Equity","0.16","180.33","219,175.00","39,523,827.75","39,523,827.75","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.16","138.96","284,213.00","39,494,238.48","39,494,238.48","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.16","40.79","965,597.00","39,386,701.63","39,386,701.63","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.16","42.21","921,220.00","38,884,696.20","38,884,696.20","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"ILMN","ILLUMINA INC","Equity","0.16","317.45","122,370.00","38,846,356.50","38,846,356.50","Health Care","2613990","US4523271090","NASDAQ"
"BAX","BAXTER INTERNATIONAL INC","Equity","0.16","91.49","424,134.00","38,804,019.66","38,804,019.66","Health Care","2085102","US0718131099","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.16","79.80","483,544.00","38,586,811.20","38,586,811.20","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"DE","DEERE","Equity","0.16","147.10","260,482.00","38,316,902.20","38,316,902.20","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
"EW","EDWARDS LIFESCIENCES CORP","Equity","0.16","218.97","172,769.00","37,831,227.93","37,831,227.93","Health Care","2567116","US28176E1082","New York Stock Exchange Inc."
"DG","DOLLAR GENERAL CORP","Equity","0.16","174.80","214,039.00","37,414,017.20","37,414,017.20","Consumer Discretionary","B5B1S13","US2566771059","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","0.15","38.79","954,217.00","37,014,077.43","37,014,077.43","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"SHW","SHERWIN WILLIAMS","Equity","0.15","538.86","68,092.00","36,692,055.12","36,692,055.12","Materials","2804211","US8243481061","New York Stock Exchange Inc."
"LHX","L3HARRIS TECHNOLOGIES INC","Equity","0.15","195.30","185,564.00","36,240,649.20","36,240,649.20","Industrials","BK9DTN5","US5024311095","New York Stock Exchange Inc."
"ADI","ANALOG DEVICES INC","Equity","0.15","113.34","307,299.00","34,829,268.66","34,829,268.66","Information Technology","2032067","US0326541051","NASDAQ"
"REGN","REGENERON PHARMACEUTICALS INC","Equity","0.14","516.15","66,635.00","34,393,655.25","34,393,655.25","Health Care","2730190","US75886F1075","NASDAQ"
"ADSK","AUTODESK INC","Equity","0.14","187.90","182,284.00","34,251,163.60","34,251,163.60","Information Technology","2065159","US0527691069","NASDAQ"
"MCO","MOODYS CORP","Equity","0.14","254.98","134,260.00","34,233,614.80","34,233,614.80","Financials","2252058","US6153691059","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.14","83.13","411,241.00","34,186,464.33","34,186,464.33","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"LRCX","LAM RESEARCH CORP","Equity","0.14","279.99","120,013.00","33,602,439.87","33,602,439.87","Information Technology","2502247","US5128071082","NASDAQ"
"AON","AON PLC CLASS A","Equity","0.14","170.61","194,802.00","33,235,169.22","33,235,169.22","Financials","BLP1HW5","IE00BLP1HW54","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","0.14","100.94","323,128.00","32,616,540.32","32,616,540.32","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"EL","ESTEE LAUDER INC CLASS A","Equity","0.14","176.86","184,019.00","32,545,600.34","32,545,600.34","Consumer Staples","2320524","US5184391044","New York Stock Exchange Inc."
"DLR","DIGITAL REALTY TRUST REIT INC","Equity","0.14","148.61","218,651.00","32,493,725.11","32,493,725.11","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"CNC","CENTENE CORP","Equity","0.13","66.17","483,261.00","31,977,380.37","31,977,380.37","Health Care","2807061","US15135B1017","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","0.13","129.58","238,712.00","30,932,300.96","30,932,300.96","Utilities","2138158","US8168511090","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.13","38.32","804,188.00","30,816,484.16","30,816,484.16","Utilities","2670519","US30161N1019","NASDAQ"
"GIS","GENERAL MILLS INC","Equity","0.13","60.30","503,182.00","30,341,874.60","30,341,874.60","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.12","59.07","506,402.00","29,913,166.14","29,913,166.14","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","0.12","85.78","347,202.00","29,782,987.56","29,782,987.56","Industrials","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"BX","BLACKSTONE GROUP INC CLASS A","Equity","0.12","54.12","549,306.00","29,728,440.72","29,728,440.72","Financials","BKF2SL7","US09260D1072","New York Stock Exchange Inc."
"DD","DUPONT DE NEMOURS INC","Equity","0.12","48.17","614,589.00","29,604,752.13","29,604,752.13","Materials","BK0VN47","US26614N1028","New York Stock Exchange Inc."
"ROP","ROPER TECHNOLOGIES INC","Equity","0.12","340.72","86,267.00","29,392,892.24","29,392,892.24","Industrials","2749602","US7766961061","New York Stock Exchange Inc."
"ROST","ROSS STORES INC","Equity","0.12","97.05","300,401.00","29,153,917.05","29,153,917.05","Consumer Discretionary","2746711","US7782961038","NASDAQ"
"ALL","ALLSTATE CORP","Equity","0.12","105.82","272,932.00","28,881,664.24","28,881,664.24","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.12","45.36","627,245.00","28,451,833.20","28,451,833.20","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"TMUS","T MOBILE US INC","Equity","0.12","89.31","316,215.00","28,241,161.65","28,241,161.65","Communication","B94Q9V0","US8725901040","NASDAQ"
"XEL","XCEL ENERGY INC","Equity","0.12","65.08","433,098.00","28,186,017.84","28,186,017.84","Utilities","2614807","US98389B1008","NASDAQ"
"EA","ELECTRONIC ARTS INC","Equity","0.11","112.78","243,487.00","27,460,463.86","27,460,463.86","Communication","2310194","US2855121099","NASDAQ"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.11","291.47","93,471.00","27,243,992.37","27,243,992.37","Real Estate","BZ6TS23","US78410G1040","NASDAQ"
"PSX","PHILLIPS","Equity","0.11","73.50","370,620.00","27,240,570.00","27,240,570.00","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.11","59.23","459,555.00","27,219,442.65","27,219,442.65","Information Technology","2257019","US1924461023","NASDAQ"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","0.11","1.00","27,168,000.00","27,168,000.00","27,168,000.00","Cash and/or Derivatives","-","US0669224778","-"
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.11","69.75","387,522.00","27,029,659.50","27,029,659.50","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.11","136.65","193,556.00","26,449,427.40","26,449,427.40","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.11","38.02","695,041.00","26,425,458.82","26,425,458.82","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
